User Id,Date,SKU,Description,Category Description,Age
A53617B,9/1/2017,124549,PIPED DRIVING GLO  F0,Handbags & Access,36
A53617B,11/26/2017,191787,FLORAL RING  Y4,Jewellery,36
4B3FC23,9/9/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,25
4B3FC23,9/11/2017,222124,INCA STACKERS  H6,Jewellery,25
4B3FC23,10/21/2017,189455,ZEBRA BANGLE  Y4,Jewellery,25
2C6D0984,12/23/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,22
2C6D0984,10/12/2017,223062,SPECKLED BANGLE  N4,Jewellery,22
2C6D0984,8/15/2017,158770,LEATHER GLOVE  SH,Handbags & Access,22
2C6D0984,12/18/2017,191879,FLOWER SPKLE RING  R4,Jewellery,22
1E5DE635,9/27/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,21
D0CD1AD,11/15/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,20
D0CD1AD,9/7/2017,197201,SPARKLE FLOWER RI  Y4,Jewellery,20
D0CD1AD,8/27/2017,189455,ZEBRA BANGLE  Y4,Jewellery,20
D0CD1AD,10/4/2017,124549,PIPED DRIVING GLO  F0,Handbags & Access,20
D0CD1AD,8/28/2017,160639,ASHMILLON GLOVE A0,Handbags & Access,20
12C780EF,11/29/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,30
12C780EF,8/20/2017,217190,CHARM HEART BGL  A4,Jewellery,30
12C780EF,10/20/2017,186064,"MEDINA KIMONO SV, 1SIZE",Handbags & Access,30
12C780EF,8/31/2017,183306,"CASHMERE STRIPE A4, 1SIZE",Handbags & Access,30
12C780EF,12/2/2017,166408,ASHMILLON SCARF B0,Handbags & Access,30
12C780EF,8/13/2017,155500,LEATHER GLOVE  NT,Handbags & Access,30
12C780EF,10/15/2017,126412,SIDE BOW GLOVE  Y0,Handbags & Access,30
950260A,8/25/2017,178394,"ASHMILLON GLOVE A0, 1SIZE",Handbags & Access,50
950260A,12/12/2017,183306,"CASHMERE STRIPE A4, 1SIZE",Handbags & Access,50
950260A,8/1/2017,183306,"CASHMERE STRIPE A4, 1SIZE",Handbags & Access,50
950260A,9/14/2017,198742,FACETED DUO BANGL  SZ,Jewellery,50
950260A,11/8/2017,189455,ZEBRA BANGLE  Y4,Jewellery,50
2B1F305E,10/1/2017,214049,WOOD DIP BANGLE  W5,Jewellery,25
2B1F305E,8/18/2017,137551,OV PLAIN LEATHER  A0,Handbags & Access,25
2B1F305E,9/28/2017,128697,STUDDED BOW GLOVE  Y0,Handbags & Access,25
2B1F305E,9/30/2017,167688,CASHMERE STRIPE F4,Handbags & Access,25
2B1F305E,10/19/2017,197201,SPARKLE FLOWER RI  Y4,Jewellery,25
22ED0EB8,10/24/2017,214049,WOOD DIP BANGLE  W5,Jewellery,29
22ED0EB8,10/15/2017,122451,CURVE BOW GLOVE  A4,Handbags & Access,29
26EA1962,10/8/2017,214049,WOOD DIP BANGLE  W5,Jewellery,47
26EA1962,11/24/2017,221278,PRINT BANGLE  ZZ,Jewellery,47
26EA1962,12/3/2017,195053,DISCO RING  Z0,Jewellery,47
26EA1962,12/13/2017,137072,ANIMAL BUCKLE GLO  SH,Handbags & Access,47
26EA1962,10/22/2017,126412,SIDE BOW GLOVE  Y0,Handbags & Access,47
1CF65333,11/7/2017,214049,WOOD DIP BANGLE  W5,Jewellery,24
1CF65333,12/17/2017,194505,DISCO RING  C8,Jewellery,24
1CF65333,11/2/2017,145332,LEATHER GLOVE  B0,Handbags & Access,24
1CF65333,9/9/2017,221278,PRINT BANGLE  ZZ,Jewellery,24
1CF65333,10/31/2017,173982,POSTMAN MESSENGER B0,Handbags & Access,24
22A95C72,11/26/2017,214049,WOOD DIP BANGLE  W5,Jewellery,25
22A95C72,11/26/2017,167688,CASHMERE STRIPE F4,Handbags & Access,25
22A95C72,9/16/2017,213702,ORGANIC SWIRL BL  Z4,Jewellery,25
22A95C72,9/8/2017,202579,MIDAS TOUCH BANGL  ZZ,Jewellery,25
22A95C72,11/24/2017,164260,ASHMILLON BERET A0,Handbags & Access,25
2FA43312,11/2/2017,214049,WOOD DIP BANGLE  W5,Jewellery,42
2FA43312,11/25/2017,204552,MERIBEL BANGLE  TW,Jewellery,42
2FA43312,12/17/2017,160639,ASHMILLON GLOVE A0,Handbags & Access,42
3AF1A7B1,12/16/2017,214049,WOOD DIP BANGLE  W5,Jewellery,38
3AF1A7B1,11/27/2017,223062,SPECKLED BANGLE  N4,Jewellery,38
3AF1A7B1,12/20/2017,213228,GYPSY STACK BANGL  W5,Jewellery,38
1B69F54A,11/27/2017,214049,WOOD DIP BANGLE  W5,Jewellery,52
1B69F54A,9/26/2017,184019,"BOBBLE SCARF F4, 1SIZE",Handbags & Access,52
1B69F54A,11/25/2017,219484,SPECKLE WOOD BANG  R8,Jewellery,52
11555F37,9/14/2017,214049,WOOD DIP BANGLE  W5,Jewellery,25
11555F37,9/5/2017,162348,ASHMILLON GLOVE B0,Handbags & Access,25
11555F37,12/11/2017,198742,FACETED DUO BANGL  SZ,Jewellery,25
11555F37,8/8/2017,225315,SPICE BANGLE  N4,Jewellery,25
11555F37,11/24/2017,191308,SPARKLE GARDEN RI  ZZ,Jewellery,25
F444481,10/19/2017,214049,WOOD DIP BANGLE  W5,Jewellery,30
F444481,11/27/2017,214049,WOOD DIP BANGLE  W5,Jewellery,30
F444481,10/14/2017,200172,FACETED DUO BANGL  Y4,Jewellery,30
145A8C98,12/20/2017,214049,WOOD DIP BANGLE  W5,Jewellery,29
145A8C98,11/28/2017,186064,"MEDINA KIMONO SV, 1SIZE",Handbags & Access,29
145A8C98,9/4/2017,162348,ASHMILLON GLOVE B0,Handbags & Access,29
145A8C98,8/24/2017,189455,ZEBRA BANGLE  Y4,Jewellery,29
13EE3462,11/20/2017,214049,WOOD DIP BANGLE  W5,Jewellery,35
13EE3462,10/7/2017,217190,CHARM HEART BGL  A4,Jewellery,35
13EE3462,9/28/2017,181450,"ASHMILLON SCARF Y0, 1SIZE",Handbags & Access,35
13EE3462,8/6/2017,176256,MEDINA KIMONO SV,Handbags & Access,35
13EE3462,9/3/2017,225315,SPICE BANGLE  N4,Jewellery,35
13EE3462,12/14/2017,147552,LEATHER GLOVE  IE,Handbags & Access,35
3718BF40,11/5/2017,214049,WOOD DIP BANGLE  W5,Jewellery,23
3718BF40,8/11/2017,200172,FACETED DUO BANGL  Y4,Jewellery,23
24F16000,11/5/2017,214049,WOOD DIP BANGLE  W5,Jewellery,27
24F16000,12/3/2017,191308,SPARKLE GARDEN RI  ZZ,Jewellery,27
24F16000,10/6/2017,181610,"ASHMILLON SCARF B0, 1SIZE",Handbags & Access,27
37F00BA3,9/1/2017,214049,WOOD DIP BANGLE  W5,Jewellery,25
37F00BA3,10/11/2017,186064,"MEDINA KIMONO SV, 1SIZE",Handbags & Access,25
37F00BA3,9/3/2017,135119,PATENT CHARM GLOV  Y4,Handbags & Access,25
37F00BA3,8/5/2017,212118,GYPSY STACK BANGL  NL,Jewellery,25
37F00BA3,12/10/2017,137072,ANIMAL BUCKLE GLO  SH,Handbags & Access,25
3A50CFD6,11/5/2017,214049,WOOD DIP BANGLE  W5,Jewellery,33
3A50CFD6,8/17/2017,194505,DISCO RING  C8,Jewellery,33
3A50CFD6,11/15/2017,198742,FACETED DUO BANGL  SZ,Jewellery,33
3A50CFD6,10/16/2017,137072,ANIMAL BUCKLE GLO  SH,Handbags & Access,33
3A50CFD6,8/15/2017,160639,ASHMILLON GLOVE A0,Handbags & Access,33
13BB50BB,8/23/2017,214049,WOOD DIP BANGLE  W5,Jewellery,52
13BB50BB,8/31/2017,122451,CURVE BOW GLOVE  A4,Handbags & Access,52
2BDBB093,11/30/2017,214049,WOOD DIP BANGLE  W5,Jewellery,37
2BDBB093,10/31/2017,145748,LEATHER GLOVE  D0,Handbags & Access,37
229B5AAE,9/4/2017,214049,WOOD DIP BANGLE  W5,Jewellery,40
229B5AAE,9/16/2017,155500,LEATHER GLOVE  NT,Handbags & Access,40
229B5AAE,9/15/2017,213702,ORGANIC SWIRL BL  Z4,Jewellery,40
229B5AAE,11/9/2017,191373,BRUSHED MOON RING  T4,Jewellery,40
1EA4A2F1,11/5/2017,214049,WOOD DIP BANGLE  W5,Jewellery,24
1EA4A2F1,12/23/2017,178735,"ASHMILLON GLOVE B0, 1SIZE",Handbags & Access,24
1EA4A2F1,9/20/2017,137551,OV PLAIN LEATHER  A0,Handbags & Access,24
1EA4A2F1,12/1/2017,200573,ZIG ZAG BANGLE  J4,Jewellery,24
2D774CA4,10/5/2017,214049,WOOD DIP BANGLE  W5,Jewellery,49
2D774CA4,12/7/2017,143768,LEATHER GLOVE  AS,Handbags & Access,49
2D774CA4,10/22/2017,135119,PATENT CHARM GLOV  Y4,Handbags & Access,49
2D774CA4,12/16/2017,158319,LEATHER GLOVE  S0,Handbags & Access,49
2D774CA4,10/15/2017,213702,ORGANIC SWIRL BL  Z4,Jewellery,49
2D774CA4,11/2/2017,202579,MIDAS TOUCH BANGL  ZZ,Jewellery,49
2D774CA4,10/28/2017,124549,PIPED DRIVING GLO  F0,Handbags & Access,49
3B14659D,11/28/2017,214049,WOOD DIP BANGLE  W5,Jewellery,38
3B14659D,9/16/2017,151661,LEATHER GLOVE  KN,Handbags & Access,38
3B14659D,8/20/2017,166408,ASHMILLON SCARF B0,Handbags & Access,38
3B14659D,9/21/2017,131559,PIPED BOW GLOVE  Y4,Handbags & Access,38
3B14659D,11/3/2017,213228,GYPSY STACK BANGL  W5,Jewellery,38
31485211,9/17/2017,214049,WOOD DIP BANGLE  W5,Jewellery,29
31485211,10/31/2017,150031,LEATHER GLOVE  J0,Handbags & Access,29
1086AF0F,10/28/2017,214049,WOOD DIP BANGLE  W5,Jewellery,38
1086AF0F,11/4/2017,178735,"ASHMILLON GLOVE B0, 1SIZE",Handbags & Access,38
1086AF0F,12/23/2017,158319,LEATHER GLOVE  S0,Handbags & Access,38
1086AF0F,8/9/2017,212118,GYPSY STACK BANGL  NL,Jewellery,38
1086AF0F,9/12/2017,137072,ANIMAL BUCKLE GLO  SH,Handbags & Access,38
1086AF0F,11/19/2017,140219,OV PLAIN LEATHER  KN,Handbags & Access,38
1086AF0F,8/9/2017,164260,ASHMILLON BERET A0,Handbags & Access,38
2AB62406,8/26/2017,214049,WOOD DIP BANGLE  W5,Jewellery,53
2AB62406,10/5/2017,148301,LEATHER GLOVE  IK,Handbags & Access,53
2AB62406,10/4/2017,213702,ORGANIC SWIRL BL  Z4,Jewellery,53
2AB62406,9/2/2017,124549,PIPED DRIVING GLO  F0,Handbags & Access,53
2AB62406,8/12/2017,124549,PIPED DRIVING GLO  F0,Handbags & Access,53
2AB62406,10/14/2017,160639,ASHMILLON GLOVE A0,Handbags & Access,53
2F936B1,8/13/2017,214049,WOOD DIP BANGLE  W5,Jewellery,22
2F936B1,8/14/2017,225315,SPICE BANGLE  N4,Jewellery,22
E6AD830,10/21/2017,214049,WOOD DIP BANGLE  W5,Jewellery,45
E6AD830,11/11/2017,181450,"ASHMILLON SCARF Y0, 1SIZE",Handbags & Access,45
E6AD830,12/30/2017,128697,STUDDED BOW GLOVE  Y0,Handbags & Access,45
E6AD830,12/24/2017,191373,BRUSHED MOON RING  T4,Jewellery,45
E6AD830,8/26/2017,198206,FACETED DUO BANGL  N4,Jewellery,45
452924B,11/30/2017,214049,WOOD DIP BANGLE  W5,Jewellery,20
452924B,12/4/2017,131559,PIPED BOW GLOVE  Y4,Handbags & Access,20
452924B,8/4/2017,200172,FACETED DUO BANGL  Y4,Jewellery,20
452924B,10/8/2017,197201,SPARKLE FLOWER RI  Y4,Jewellery,20
452924B,10/13/2017,172185,BOBBLE SCARF F4,Handbags & Access,20
E5CAA38,11/13/2017,214049,WOOD DIP BANGLE  W5,Jewellery,29
A92D846,10/16/2017,214049,WOOD DIP BANGLE  W5,Jewellery,41
A92D846,12/29/2017,141740,OV PLAIN LEATHER  VZ,Handbags & Access,41
A92D846,9/12/2017,191308,SPARKLE GARDEN RI  ZZ,Jewellery,41
A92D846,9/24/2017,124549,PIPED DRIVING GLO  F0,Handbags & Access,41
1E5B2774,10/19/2017,214049,WOOD DIP BANGLE  W5,Jewellery,27
1E5B2774,11/1/2017,137551,OV PLAIN LEATHER  A0,Handbags & Access,27
1E5B2774,8/13/2017,187907,DANGLE BANGLES  A4,Jewellery,27
1E5B2774,8/19/2017,204552,MERIBEL BANGLE  TW,Jewellery,27
19089F8E,12/7/2017,214049,WOOD DIP BANGLE  W5,Jewellery,26
19089F8E,11/14/2017,145748,LEATHER GLOVE  D0,Handbags & Access,26
19089F8E,9/3/2017,186064,"MEDINA KIMONO SV, 1SIZE",Handbags & Access,26
19089F8E,10/24/2017,155500,LEATHER GLOVE  NT,Handbags & Access,26
19089F8E,12/21/2017,200573,ZIG ZAG BANGLE  J4,Jewellery,26
18AC2B4B,12/21/2017,214049,WOOD DIP BANGLE  W5,Jewellery,29
18AC2B4B,9/29/2017,122451,CURVE BOW GLOVE  A4,Handbags & Access,29
18AC2B4B,12/11/2017,204552,MERIBEL BANGLE  TW,Jewellery,29
141B0234,9/9/2017,214049,WOOD DIP BANGLE  W5,Jewellery,49
141B0234,9/10/2017,141740,OV PLAIN LEATHER  VZ,Handbags & Access,49
141B0234,11/16/2017,145332,LEATHER GLOVE  B0,Handbags & Access,49
141B0234,11/1/2017,204552,MERIBEL BANGLE  TW,Jewellery,49
141B0234,12/14/2017,173982,POSTMAN MESSENGER B0,Handbags & Access,49
141B0234,11/12/2017,155500,LEATHER GLOVE  NT,Handbags & Access,49
141B0234,10/12/2017,140219,OV PLAIN LEATHER  KN,Handbags & Access,49
